"","Phylum_Reads","Genus_Reads","Species_Reads","ASV_Reads"
"doubleton_G4_Feces_Fixed_24_D2",33699,33699,33699,33699
"doubleton_G4_Feces_Fixed_24_D3",53108,53108,53108,53108
"doubleton_G4_Feces_Fixed_24_D4",35874,35874,35874,35874
"doubleton_G4_Feces_FL_350_A1",705,705,705,705
"doubleton_G4_Feces_FL_350_A2",72466,72466,72466,72466
"doubleton_G4_Feces_FL_350_A3",70930,70930,70930,70930
"doubleton_G4_Feces_FL_350_A4",80965,80965,80965,80965
"doubleton_G4_Feces_FL_350_B1",64159,64159,64159,64159
"doubleton_G4_Feces_FL_350_B2",85751,85751,85751,85751
"doubleton_G4_Feces_FL_350_B3",62,62,62,62
"doubleton_G4_Feces_FL_350_B4",66,66,66,66
"doubleton_G4_Feces_FL_350_C1",40748,40748,40748,40748
"doubleton_G4_Feces_FL_350_C2",78919,78919,78919,78919
"doubleton_G4_Feces_FL_350_C3",79914,79914,79914,79914
"doubleton_G4_Feces_FL_350_C4",76755,76755,76755,76755
"doubleton_G4_Feces_FL_350_D1",36949,36949,36949,36949
"doubleton_G4_Feces_FL_350_D2",81602,81602,81602,81602
"doubleton_G4_Feces_FL_350_D3",38730,38730,38730,38730
"doubleton_G4_Feces_FL_350_D4",82956,82956,82956,82956
"doubleton_G7_Soil_Fixed_24_A1",11,11,11,11
"doubleton_G7_Soil_Fixed_24_A2",12846,12846,12846,12846
"doubleton_G7_Soil_Fixed_24_A3",23420,23420,23420,23420
"doubleton_G7_Soil_Fixed_24_A4",19451,19451,19451,19451
"doubleton_G7_Soil_Fixed_24_B1",6812,6812,6812,6812
"doubleton_G7_Soil_Fixed_24_B2",10739,10739,10739,10739
"doubleton_G7_Soil_Fixed_24_B3",26212,26212,26212,26212
"doubleton_G7_Soil_Fixed_24_B4",22925,22925,22925,22925
"doubleton_G7_Soil_Fixed_24_C1",8143,8143,8143,8143
"doubleton_G7_Soil_Fixed_24_C2",10963,10963,10963,10963
"doubleton_G7_Soil_Fixed_24_C3",22576,22576,22576,22576
"doubleton_G7_Soil_Fixed_24_C4",23001,23001,23001,23001
"doubleton_G7_Soil_Fixed_24_D1",2887,2887,2887,2887
"doubleton_G7_Soil_Fixed_24_D2",10243,10243,10243,10243
"doubleton_G7_Soil_Fixed_24_D3",15718,15718,15718,15718
"doubleton_G7_Soil_Fixed_24_D4",26036,26036,26036,26036
"doubleton_G7_Soil_FL_5000_A1",45423,45423,45423,45423
"doubleton_G7_Soil_FL_5000_A2",30588,30588,30588,30588
"doubleton_G7_Soil_FL_5000_A3",1064,1064,1064,1064
"doubleton_G7_Soil_FL_5000_A4",58543,58543,58543,58543
"doubleton_G7_Soil_FL_5000_B1",878,878,878,878
"doubleton_G7_Soil_FL_5000_B2",204,204,204,204
"doubleton_G7_Soil_FL_5000_B3",51438,51438,51438,51438
"doubleton_G7_Soil_FL_5000_B4",40185,40185,40185,40185
"doubleton_G7_Soil_FL_5000_C1",1820,1820,1820,1820
"doubleton_G7_Soil_FL_5000_C2",31798,31798,31798,31798
"doubleton_G7_Soil_FL_5000_C3",50919,50919,50919,50919
"doubleton_G7_Soil_FL_5000_C4",86494,86494,86494,86494
"doubleton_G7_Soil_FL_5000_D1",1138,1138,1138,1138
"doubleton_G7_Soil_FL_5000_D2",32108,32108,32108,32108
"doubleton_G7_Soil_FL_5000_D3",57471,57471,57471,57471
"doubleton_G7_Soil_FL_5000_D4",55893,55893,55893,55893
