sample_name,cycle,fluorescence,sample_type,primer_set,temperature,mastermix,well,column,row,normalization,experiment,subtitle,plate,plate_title,sample_ID,short_name,plot_cycle,data_class,sample_ID_ton,sample_name_old,short_name_old,temp_num,plate_well,sample_richness,sample_counts,sample_type_richness,sample_type_counts,contaminants,reads_with_contaminants,input,filtered,percentage.of.input.passed.filter,denoised,non.chimeric,percentage.of.input.non.chimeric,fastq_reads,trimmed_reads,filtered_reads,denoised_reads,chimeric_reads,contaminant_table_reads,contaminant_reads,usable_reads,p_fastq_reads,p_trimmed_reads,p_filtered_reads,p_denoised_reads,p_chimeric_reads,p_contaminant_reads,p_contaminant_table_reads,p_usable_reads
doubleton_G4_Feces_Fixed_24_D1,24,439,Feces,Standard,42°C,QB,D1,1,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D1,doubleton_QB_Standard_fixed cycles_Feces_42°C,cycle_24,doubleton,D_G4_1_D1,G4_Feces_Fixed_24_D1,QB_Standard_fixed cycles_Feces_42°C,42C,1D1,1653,26750,3980,1519967,removed,26771,54502,41814,76.72,27636,26833,49.23,55574,1072,12688,14178,803,21,83,26750,100,1.93,22.83,25.51,1.44,0.15,0.04,48.13
singleton_G4_Feces_Fixed_24_D2,24,427,Feces,Standard,47°C,QB,D2,2,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D2,singleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,singleton,S_G4_1_D2,G4_Feces_Fixed_24_D2,QB_Standard_fixed cycles_Feces_47°C,47C,1D2,1456,34170,10258,1554780,removed,34191,77570,61266,78.98,59569,53527,69,79920,2350,16304,1697,6042,21,19357,34170,100,2.94,20.4,2.12,7.56,24.22,0.03,42.76
doubleton_G4_Feces_Fixed_24_D2,24,427,Feces,Standard,47°C,QB,D2,2,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D2,doubleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,doubleton,D_G4_1_D2,G4_Feces_Fixed_24_D2,QB_Standard_fixed cycles_Feces_47°C,47C,1D2,1811,33699,3980,1519967,removed,33726,77570,61266,78.98,35540,33780,43.55,79920,2350,16304,25726,1760,27,81,33699,100,2.94,20.4,32.19,2.2,0.1,0.03,42.17
singleton_G4_Feces_Fixed_24_D3,24,510,Feces,Standard,52°C,QB,D3,3,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D3,singleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,singleton,S_G4_1_D3,G4_Feces_Fixed_24_D3,QB_Standard_fixed cycles_Feces_52°C,52C,1D3,1753,54706,10258,1554780,removed,54735,119023,101111,84.95,98235,86248,72.46,119571,548,17912,2876,11987,29,31542,54706,100,0.46,14.98,2.41,10.03,26.38,0.02,45.75
doubleton_G4_Feces_Fixed_24_D3,24,510,Feces,Standard,52°C,QB,D3,3,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D3,doubleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,doubleton,D_G4_1_D3,G4_Feces_Fixed_24_D3,QB_Standard_fixed cycles_Feces_52°C,52C,1D3,2006,53108,3980,1519967,removed,53145,119023,101111,84.95,57286,53198,44.7,119571,548,17912,43825,4088,37,90,53108,100,0.46,14.98,36.65,3.42,0.08,0.03,44.42
singleton_G4_Feces_Fixed_24_D4,24,469,Feces,Standard,57°C,QB,D4,4,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D4,singleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,singleton,S_G4_1_D4,G4_Feces_Fixed_24_D4,QB_Standard_fixed cycles_Feces_57°C,57C,1D4,1399,36823,10258,1554780,removed,36853,82809,70851,85.56,68835,61291,74.01,82929,120,11958,2016,7544,30,24468,36823,100,0.14,14.42,2.43,9.1,29.5,0.04,44.4
doubleton_G4_Feces_Fixed_24_D4,24,469,Feces,Standard,57°C,QB,D4,4,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D4,doubleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,doubleton,D_G4_1_D4,G4_Feces_Fixed_24_D4,QB_Standard_fixed cycles_Feces_57°C,57C,1D4,1730,35874,3980,1519967,removed,35910,82809,70851,85.56,38377,35938,43.4,82929,120,11958,32474,2439,36,64,35874,100,0.14,14.42,39.16,2.94,0.08,0.04,43.26
singleton_G4_Feces_Fixed_24_E1,24,161,NTC,Standard,42°C,QB,E1,1,E,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_E1,singleton_QB_Standard_fixed cycles_NTC_42°C,cycle_24,singleton,S_G4_1_E1,G4_Feces_Fixed_24_E1,QB_Standard_fixed cycles_NTC_42°C,42C,1E1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_E1,24,161,NTC,Standard,42°C,QB,E1,1,E,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_E1,doubleton_QB_Standard_fixed cycles_NTC_42°C,cycle_24,doubleton,D_G4_1_E1,G4_Feces_Fixed_24_E1,QB_Standard_fixed cycles_NTC_42°C,42C,1E1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
singleton_G4_Feces_Fixed_24_E2,24,167,NTC,Standard,47°C,QB,E2,2,E,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_E2,singleton_QB_Standard_fixed cycles_NTC_47°C,cycle_24,singleton,S_G4_1_E2,G4_Feces_Fixed_24_E2,QB_Standard_fixed cycles_NTC_47°C,47C,1E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
