sample_name,cycle,fluorescence,sample_type,primer_set,temperature,mastermix,well,column,row,normalization,experiment,subtitle,plate,plate_title,sample_ID,short_name,plot_cycle,data_class,sample_ID_ton,sample_name_old,short_name_old,temp_num,plate_well,sample_richness,sample_counts,sample_type_richness,sample_type_counts,contaminants,reads_with_contaminants,input,filtered,percentage.of.input.passed.filter,denoised,non.chimeric,percentage.of.input.non.chimeric,fastq_reads,trimmed_reads,filtered_reads,denoised_reads,chimeric_reads,contaminant_table_reads,contaminant_reads,usable_reads,p_fastq_reads,p_trimmed_reads,p_filtered_reads,p_denoised_reads,p_chimeric_reads,p_contaminant_reads,p_contaminant_table_reads,p_usable_reads
doubleton_G4_Feces_Fixed_24_G4,24,175,NTC,Standard,57°C,QB,G4,4,G,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_G4,doubleton_QB_Standard_fixed cycles_NTC_57°C,cycle_24,doubleton,D_G4_1_G4,G4_Feces_Fixed_24_G4,QB_Standard_fixed cycles_NTC_57°C,57C,1G4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_H2,24,126,NTC,Standard,47°C,QB,H2,2,H,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_H2,doubleton_QB_Standard_fixed cycles_NTC_47°C,cycle_24,doubleton,D_G4_1_H2,G4_Feces_Fixed_24_H2,QB_Standard_fixed cycles_NTC_47°C,47C,1H2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_H3,24,142,NTC,Standard,52°C,QB,H3,3,H,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_H3,doubleton_QB_Standard_fixed cycles_NTC_52°C,cycle_24,doubleton,D_G4_1_H3,G4_Feces_Fixed_24_H3,QB_Standard_fixed cycles_NTC_52°C,52C,1H3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_H4,24,148,NTC,Standard,57°C,QB,H4,4,H,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_H4,doubleton_QB_Standard_fixed cycles_NTC_57°C,cycle_24,doubleton,D_G4_1_H4,G4_Feces_Fixed_24_H4,QB_Standard_fixed cycles_NTC_57°C,57C,1H4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_FL_350_A2,17,353,Feces,Standard,47°C,QB,A2,2,A,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_A2,doubleton_QB_Standard_targeted fluorescence_Feces_47°C,cycle_17,doubleton,D_G4_2_A2,G4_Feces_FL_350_A2,QB_Standard_targeted fluorescence_Feces_47°C,47C,2A2,2450,72466,3980,1519967,removed,72514,91665,78294,85.41,72842,72610,79.21,92076,411,13371,5452,232,48,144,72466,100,0.45,14.52,5.92,0.25,0.16,0.05,78.7
doubleton_G4_Feces_FL_350_A3,18,383,Feces,Standard,52°C,QB,A3,3,A,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_A3,doubleton_QB_Standard_targeted fluorescence_Feces_52°C,cycle_18,doubleton,D_G4_2_A3,G4_Feces_FL_350_A3,QB_Standard_targeted fluorescence_Feces_52°C,52C,2A3,2338,70930,3980,1519967,removed,70984,107837,92575,85.85,72709,71051,65.89,107972,135,15262,19866,1658,54,121,70930,100,0.13,14.14,18.4,1.54,0.11,0.05,65.69
doubleton_G4_Feces_FL_350_A4,17,358,Feces,Standard,57°C,QB,A4,4,A,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_A4,doubleton_QB_Standard_targeted fluorescence_Feces_57°C,cycle_17,doubleton,D_G4_2_A4,G4_Feces_FL_350_A4,QB_Standard_targeted fluorescence_Feces_57°C,57C,2A4,2476,80965,3980,1519967,removed,81044,103049,88703,86.08,81483,81114,78.71,103101,52,14346,7220,369,79,149,80965,100,0.05,13.91,7,0.36,0.14,0.08,78.53
doubleton_G4_Feces_FL_350_B2,18,387,Feces,Standard,47°C,QB,B2,2,B,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_B2,doubleton_QB_Standard_targeted fluorescence_Feces_47°C,cycle_18,doubleton,D_G4_2_B2,G4_Feces_FL_350_B2,QB_Standard_targeted fluorescence_Feces_47°C,47C,2B2,2535,85751,3980,1519967,removed,85821,113013,95978,84.93,86453,85917,76.02,113732,719,17035,9525,536,70,166,85751,100,0.63,14.98,8.37,0.47,0.15,0.06,75.4
doubleton_G4_Feces_FL_350_B3,24,124,Feces,Standard,52°C,QB,B3,3,B,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_B3,doubleton_QB_Standard_targeted fluorescence_Feces_52°C,cycle_24,doubleton,D_G4_2_B3,G4_Feces_FL_350_B3,QB_Standard_targeted fluorescence_Feces_52°C,52C,2B3,25,62,3980,1519967,removed,74,686,591,86.15,74,74,10.79,696,10,95,517,0,12,12,62,100,1.44,13.65,74.28,0,1.72,1.72,8.91
doubleton_G4_Feces_FL_350_B4,24,139,Feces,Standard,57°C,QB,B4,4,B,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_B4,doubleton_QB_Standard_targeted fluorescence_Feces_57°C,cycle_24,doubleton,D_G4_2_B4,G4_Feces_FL_350_B4,QB_Standard_targeted fluorescence_Feces_57°C,57C,2B4,27,66,3980,1519967,removed,73,768,644,83.85,73,73,9.51,774,6,124,571,0,7,7,66,100,0.78,16.02,73.77,0,0.9,0.9,8.53
